libpipeline 1.5.0-1
libplacebo 0.6.0-2
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.36-1
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libpwquality 1.4.0-1
libqalculate 2.8.2-1
libqmi 1.20.2-1
libqxp 0.0.1-4
libraqm 0.5.0-1
libraw 0.19.2-1
libraw1394 2.1.2-2
libreoffice-fresh 6.1.4-1
librevenge 0.0.4-2
librsvg 2:2.44.11-1
libsamplerate 0.1.9-2
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libshout 1:2.4.1-4
libsidplay 1.36.59-9
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.16-1
libsoup 2.64.2-1
libsoxr 0.1.3-1
libspectre 0.2.8-2
libsrtp 1:2.2.0-1
libssh 0.8.6-1
libssh2 1.8.0-3
libstaroffice 0.0.6-1
libstemmer 0+337-3
libsystemd 239.6-2
libtar 1.2.20-4
libtasn1 4.13-1
libteam 1.28-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtommath 1.0.1-1
libtool 2.4.6+42+gb88cebd5-2
libunistring 0.9.10-1
libunwind 1.2.1-2
libupnp 1.6.25-1
libusb 1.0.22-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutf8proc 2.2.0-1
libutil-linux 2.33-2
libuv 1.24.1-1
libva 2.3.0-1
libva-intel-driver 2.3.0-1
libva-mesa-driver 18.3.1-1
libva-vdpau-driver 0.7.4-3
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-5
libvisual 0.4.0-7
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.32-1
libwbclient 4.9.4-1
libwebp 1.0.1-1
libwnck 2.31.0-2
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.10-1
libx11 1.6.7-1
libx86emu 1.12-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-2
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxml2 2.9.8-6
libxmu 1.1.2-2
libxpm 3.5.12-2
libxrandr 1.5.1-2
libxrender 0.9.10-2
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-2
libxv 1.0.11-2
libxvmc 1.0.10-2
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libzip 1.5.1-1
libzmf 0.0.2-5
licenses 20181104-1
linux-api-headers 4.17.11-1
linux-firmware 20181218.0f22c85-1
linux419 4.19.13-1
linux419-bbswitch 0.8-10
linux419-nvidia 1:415.25-2
linux419-r8168 8.045.08-10
llvm-libs 7.0.1-1
lm_sensors 3.5.0-1
lmdb 0.9.23-1
logrotate 3.15.0-1
lpsolve 5.5.2.5-3
lsb-release 1.4-12
lua 5.3.5-1
lvm2 2.02.183-1
lz4 1:1.8.3-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.8.4-1
man-pages 4.16-2
manjaro-alsa 2012.11-1
manjaro-base-skel 20171029-3
manjaro-browser-settings 20181222-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.1-1
manjaro-hotfixes 2018.08-6
manjaro-icons 20181011-1
manjaro-kde-settings 20180902-1
manjaro-keyring 20180607-1
manjaro-pulse 2012.11-1
manjaro-release 18.0.2-1
manjaro-settings-manager 0.5.5-3
manjaro-settings-manager-kcm 0.5.5-3
manjaro-settings-manager-knotifier 0.5.5-3
manjaro-system 20180828-2
manjaro-wallpapers-18.0 1.4-3
mdadm 4.0-2
media-player-info 24-1
memtest86+ 5.01-3
mesa 18.3.1-1
mesa-demos 8.4.0-1
mhwd 0.6.3-1
mhwd-amdgpu 1.2.1-1
mhwd-ati 7.7.0-1
mhwd-catalyst 1:15.201.1151-2
mhwd-db 0.6.3-6
mhwd-nvidia 1:415.25-1
mhwd-nvidia-340xx 340.107-1
mhwd-nvidia-390xx 390.87-1
milou 5.14.4-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mkinitcpio-openswap 0.1.0-2
mobile-broadband-provider-info 20170310-2
modemmanager 1.8.2-1
modemmanager-qt 5.53.0-1
mongodb 4.0.4-1
mono 5.16.0.220-1
mono-addins 1.3.3-2
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
ms-office-online 18.04.4-2
mtdev 1.1.5-2
mtpfs 1.1-3
nano 3.2-1
ncurses 6.1-4
ndctl 63-1
neon 0.30.2-3
net-snmp 5.8-1
nettle 3.4.1-1
networkmanager 1.14.5dev+17+gba83251bb-1
networkmanager-openconnect 1.2.4-3
networkmanager-openvpn 1.8.8-1
networkmanager-pptp 1.2.8-1
networkmanager-qt 5.53.0-1
networkmanager-vpnc 1.2.6-1
nfs-utils 2.3.3-1
nfsidmap 2.3.3-1
node-gyp 3.8.0-1
nodejs-lts-carbon 8.15.0-2
notify-sharp 0.4.1-3
noto-fonts 20181024-1
noto-fonts-compat 20151217-1
noto-fonts-emoji 20180810-2
npm 6.5.0-1
npth 1.6-1
nspr 4.20-1
nss 3.41-1
nss-mdns 0.14.1-1
